STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,REPORTTPYE,HOURLYSKYCONDITIONS,HOURLYVISIBILITY,HOURLYPRSENTWEATHERTYPE,HOURLYDRYBULBTEMPF,HOURLYDRYBULBTEMPC,HOURLYWETBULBTEMPF,HOURLYWETBULBTEMPC,HOURLYDewPointTempF,HOURLYDewPointTempC,HOURLYRelativeHumidity,HOURLYWindSpeed,HOURLYWindDirection,HOURLYWindGustSpeed,HOURLYStationPressure,HOURLYPressureTendency,HOURLYPressureChange,HOURLYSeaLevelPressure,HOURLYPrecip,HOURLYAltimeterSetting,DAILYMaximumDryBulbTemp,DAILYMinimumDryBulbTemp,DAILYAverageDryBulbTemp,DAILYDeptFromNormalAverageTemp,DAILYAverageRelativeHumidity,DAILYAverageDewPointTemp,DAILYAverageWetBulbTemp,DAILYHeatingDegreeDays,DAILYCoolingDegreeDays,DAILYSunrise,DAILYSunset,DAILYWeather,DAILYPrecip,DAILYSnowfall,DAILYSnowDepth,DAILYAverageStationPressure,DAILYAverageSeaLevelPressure,DAILYAverageWindSpeed,DAILYPeakWindSpeed,PeakWindDirection,DAILYSustainedWindSpeed,DAILYSustainedWindDirection,MonthlyMaximumTemp,MonthlyMinimumTemp,MonthlyMeanTemp,MonthlyAverageRH,MonthlyDewpointTemp,MonthlyWetBulbTemp,MonthlyAvgHeatingDegreeDays,MonthlyAvgCoolingDegreeDays,MonthlyStationPressure,MonthlySeaLevelPressure,MonthlyAverageWindSpeed,MonthlyTotalSnowfall,MonthlyDeptFromNormalMaximumTemp,MonthlyDeptFromNormalMinimumTemp,MonthlyDeptFromNormalAverageTemp,MonthlyDeptFromNormalPrecip,MonthlyTotalLiquidPrecip,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT32Temp,MonthlyDaysWithGT32Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT1Snow,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureDate,MonthlyMaxSeaLevelPressureTime,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureDate,MonthlyMinSeaLevelPressureTime,MonthlyTotalHeatingDegreeDays,MonthlyTotalCoolingDegreeDays,MonthlyDeptFromNormalHeatingDD,MonthlyDeptFromNormalCoolingDD,MonthlyTotalSeasonToDateHeatingDD,MonthlyTotalSeasonToDateCoolingDD
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 00:51,FM-15,OVC:08 65,10.00,,40,4.4,35,1.4,26,-3.3,58,13,250,,29.87,8,,29.90,0.00,29.89,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 01:00,FM-12,,9.94,,40,4.4,35,1.4,26,-3.3,58,13,250,,29.86,8,+0.02,29.90,,,40,31,36,2.3,,,,29,0,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 01:51,FM-15,OVC:08 60,10.00,,39,3.9,34,1.1,26,-3.3,60,13,260,,29.88,,,29.91,0.00,29.90,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 02:51,FM-15,BKN:07 46 BKN:07 80 OVC:08 250,10.00,,39,3.9,34,1.1,26,-3.3,60,11,270,,29.88,,,29.90,0.00,29.90,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 03:51,FM-15,OVC:08 46,10.00,,40,4.4,35,1.6,27,-2.8,60,15,260,,29.89,1,,29.91,0.00,29.91,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 04:00,FM-12,,9.94,,40,4.4,35,1.6,27,-2.8,60,15,260,,29.88,1,-0.01,29.91,,,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 04:51,FM-15,BKN:07 46 OVC:08 55,10.00,,40,4.4,35,1.8,28,-2.2,63,17,250,,29.88,,,29.91,0.00,29.90,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 05:51,FM-15,OVC:08 50,10.00,,39,3.9,34,1.3,27,-2.8,62,15,260,,29.87,,,29.89,0.00,29.89,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 06:51,FM-15,BKN:07 50 BKN:07 250,10.00,,38,3.3,34,1.0,27,-2.8,65,14,260,,29.88,5,,29.91,0.00,29.90,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 07:00,FM-12,,9.94,,38,3.3,34,1.0,27,-2.8,65,14,260,,29.87,5,+0.00,29.91,,,39,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 07:51,FM-15,BKN:07 50 BKN:07 90 OVC:08 250,10.00,,39,3.9,35,1.5,28,-2.2,65,14,260,,29.88,,,29.90,0.00,29.90,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 08:51,FM-15,BKN:07 110 OVC:08 250,10.00,,40,4.4,35,1.6,27,-2.8,60,17,260,,29.88,,,29.91,0.00,29.90,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 09:51,FM-15,BKN:07 50 BKN:07 120 OVC:08 250,10.00,,40,4.4,35,1.6,27,-2.8,60,16,260,,29.90,3,,29.92,0.00,29.92,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 10:00,FM-12,,9.94,,40,4.4,35,1.6,27,-2.8,60,16,260,,29.89,3,-0.01,29.92,,,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 10:51,FM-15,FEW:02 50 BKN:07 110 OVC:08 230,10.00,,41,5.0,36,2.1,28,-2.2,60,16,260,,29.89,,,29.91,0.00,29.91,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 11:51,FM-15,SCT:04 38 BKN:07 48 OVC:08 110,10.00,,41,5.0,36,2.0,27,-2.8,57,15,270,,29.86,,,29.88,0.00,29.88,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 12:51,FM-15,BKN:07 36 OVC:08 85,10.00,,40,4.4,35,1.4,26,-3.3,58,17,290,,29.85,8,,29.87,0.00,29.87,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 13:00,FM-12,,9.94,,40,4.4,35,1.4,26,-3.3,58,17,290,,29.84,8,+0.05,29.87,,,,36,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 13:02,FM-16,BKN:07 34 OVC:08 85,10.00,,37,3.0,33,0.7,27,-3.0,65,15,340,,29.85,,,,,29.87,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 13:51,FM-15,BKN:07 32 OVC:08 90,10.00,,38,3.3,33,0.8,26,-3.3,62,11,310,,29.84,,,29.86,0.00,29.86,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 14:51,FM-15,BKN:07 40 OVC:08 55,10.00,,39,3.9,33,0.8,24,-4.4,55,11,310,,29.84,,,29.86,0.00,29.86,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 15:51,FM-15,SCT:04 49 BKN:07 230,10.00,,39,3.9,33,0.6,23,-5.0,53,13,290,,29.86,3,,29.88,0.00,29.88,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 16:00,FM-12,,9.94,,39,3.9,33,0.6,23,-5.0,53,13,290,,29.85,3,-0.01,29.88,,,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 16:51,FM-15,SCT:04 49 BKN:07 240,10.00,,38,3.3,31,-0.5,18,-7.8,44,17,320,24,29.87,,,29.89,0.00,29.89,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
WBAN:94789,JFK INTERNATIONAL AIRPORT NY US,3.4,40.6386,-73.7622,2013-01-01 17:51,FM-15,FEW:02 49 BKN:07 250,10.00,,37,2.8,30,-1.0,17,-8.3,44,16,330,25,29.90,,,29.92,0.00,29.92,,,,,,,,,,0719,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9999,-9999,,-9999,-9999,,,,,,
